type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Hook,"July 5, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,JU-ON: Origins,"July 3, 2020",2020,TV-MA,"International TV Shows, TV Horror, TV Mysteries",Netflix,1
TV Show,Southern Survival,"July 3, 2020",2020,TV-PG,Reality TV,Netflix,1
TV Show,The Baby-Sitters Club,"July 3, 2020",2020,TV-G,"Kids' TV, TV Dramas",Netflix,1
TV Show,Supermarket Sweep,"July 2, 2020",1993,TV-G,Reality TV,Netflix,1
TV Show,Warrior Nun,"July 2, 2020",2020,TV-MA,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",Netflix,1
TV Show,21 Again,"July 1, 2020",2019,TV-MA,"British TV Shows, Reality TV",Netflix,1
TV Show,A Touch of Green,"July 1, 2020",2016,TV-MA,"International TV Shows, TV Dramas",Netflix,1
TV Show,Abby Hatcher,"July 1, 2020",2019,TV-Y,Kids' TV,Netflix,1
TV Show,Say I Do,"July 1, 2020",2020,TV-14,"Reality TV, Romantic TV Shows",Netflix,1
TV Show,Trotro,"July 1, 2020",2004,TV-Y,Kids' TV,Netflix,1
TV Show,BNA,"June 30, 2020",2020,TV-14,"Anime Series, International TV Shows",Netflix,1
TV Show,Homemade,"June 30, 2020",2020,TV-MA,"International TV Shows, TV Dramas",Netflix,1
TV Show,All For Love,"June 26, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Home Game,"June 26, 2020",2020,TV-MA,Docuseries,Netflix,1
TV Show,Twogether,"June 26, 2020",2020,TV-G,"International TV Shows, Korean TV Shows, Reality TV",Netflix,1
TV Show,Crazy Delicious,"June 24, 2020",2020,TV-PG,"British TV Shows, International TV Shows, Reality TV",Netflix,1
TV Show,It's Okay to Not Be Okay,"June 21, 2020",2020,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Floor Is Lava,"June 19, 2020",2020,TV-PG,Reality TV,Netflix,1
